"pm25","pm10","no2","so2","co","o3","temperature","humidity","windSpeed","aqi"
54,84.9,85.6,6,2.79,92.5,31.5,84,18.5,215
55.4,100.9,11.7,26.8,1.63,103,35.6,13,22.4,186
105.8,164.9,55.8,5.3,5.5,37.9,10.7,84,15.2,160
46.6,84,11.7,2.3,1.66,78.5,28.4,53,30.9,153
58.7,103,70.3,40.2,3.91,130.1,33.3,30,4.7,239
48.4,69.1,54.2,0.3,2.35,65.5,21.8,41,34.3,127
58.1,89.4,9.9,6.2,1.69,154.2,44.6,23,10,289
29,41.6,84.8,11.9,2.06,47.1,8.4,50,3.9,195
9.5,23.4,43.1,7.8,1.22,92.9,27,17,14.1,161
52.7,80.1,36.3,8.3,2.64,72.4,20.1,88,5.2,123
35.1,65.9,28.5,16,1.69,62.2,20.5,59,20.8,106
54.5,82.7,99.1,7.9,3.47,71.8,18,19,9.2,203
101.3,199.2,11.5,3.5,3.8,123.7,44.9,90,25.5,232
54.7,94,50.5,42.1,1.9,147.6,34.9,46,6,266
109.3,129,82.7,1.8,4.39,140.3,36.2,21,6.2,249
106.3,186,24,1.2,3.69,143.7,41.2,100,9.8,272
47.4,77.6,6.4,13.9,1.97,99.5,31.7,93,27.4,184
28.7,43.6,34.5,2.1,1.77,103,32.7,16,15.5,183
173.1,270.9,38.7,12.6,6.9,186.7,42.8,89,3,352
67.5,95.3,120,26,3.17,50.6,10.2,34,4.9,254
1.8,19.9,32.1,32.1,0.79,134,43,66,17.4,259
33.4,77.9,26.1,22.3,1.58,111.8,43.1,54,34.3,214
5.4,20.4,4.6,3.7,0.23,25.3,8.5,57,28.6,57
62.3,112.3,15.8,5.7,1.93,115.8,38.8,62,19.5,226
97.1,134.4,92.7,0.5,5.75,144.1,35.3,87,3.5,278
99.5,183.3,38.6,2.8,3.43,90.4,28.5,37,16.9,164
33.3,47.6,12,5.2,1.43,69.7,17.2,36,12.6,126
52.8,85,8.4,5.1,2.01,25.9,5.5,46,24.5,68
112.8,178.3,15.5,16.7,4.21,59.7,17.9,38,18.5,166
5.2,22.4,23.1,6.7,0.64,45.6,11.8,87,18.5,82
20.2,48.7,20.8,13.5,0.86,51.2,13.8,48,19.5,85
55.2,66.3,29.1,8.4,2.63,76.6,23.9,49,16.2,141
9,19.5,49.4,50.7,1.35,25.6,5.3,47,3.9,211
16.3,36.7,66.2,5.9,1.97,108.2,36.1,64,32.6,202
58.5,85.4,90.4,7.5,3.44,189.4,36.7,62,1.6,357
9.9,25.5,7.3,19.1,0.53,36.6,9.8,68,15.1,93
38.3,71.9,59.5,1.3,2.37,44.6,12.7,85,8.7,131
52.8,97.5,75.4,50.3,2.48,173.3,45,69,4.4,327
22.8,38.5,34.6,3.8,1.41,131,41.1,59,17.4,250
141.3,201.9,13.8,15.4,4.92,22.5,5.2,72,23.1,203
15.8,39.8,70.4,3.1,1.43,98,34,14,32.3,175
155.4,223.3,25,11,3.63,69.7,21.3,57,13.3,236
52.1,90.1,50.6,1.4,2.74,36.9,5.9,82,30.1,99
161.2,209,52.5,12.4,5.94,74.4,20.9,32,11.2,242
91.6,125.9,63.1,10.9,3.03,41.8,12.1,97,16.8,148
71.1,109.3,97.9,3.6,3.92,64.4,15.1,53,5.9,224
35.2,74,32.2,7,1.79,106.5,41.5,11,28.5,192
115.5,197.9,75.4,14.8,5.7,59.5,20,25,23.6,171
16.4,28.7,43.8,51.3,1.73,74.4,17,93,3.1,223
56.1,75.4,39.3,1.3,1.83,108.8,35.8,58,15.7,215
24,52.2,93.3,7.3,3.17,27.2,5.6,72,14.5,190
19.9,43.6,16.4,12.5,0.84,42.7,12.6,43,24.7,88
18.7,41.6,24.9,10.8,1.15,133.3,45,78,23.4,258
50.5,100.1,12.1,38.6,2.19,21.6,5.7,51,14.8,149
29.4,54.9,54.5,16.4,1.55,125,33.7,36,11.4,224
23.9,40.4,42.5,9.6,1.93,94.1,26.5,22,9.7,145
87.3,120.7,22.9,20.2,2.71,59.3,20.7,84,23.9,131
92.3,130.3,61.5,1.6,5.18,68.4,25,45,31.4,154
20.9,45,39.2,4.3,1.42,127.6,44.6,81,29.8,241
112.2,187,88.2,0.5,4.69,81.1,24.8,22,14.4,192
280,400,19.3,1.3,7.48,179.1,44.1,56,3.7,440
103.5,180.8,1.7,2,3.49,111.2,34.9,41,29.2,208
30.4,42.1,120,15.4,3.36,138,32.4,87,3.5,279
38.5,57.6,42,15.9,2.4,101.2,24.8,73,4.9,206
85.9,117.5,61.3,14.8,3.04,26,7.2,78,22.8,139
68,126.4,53.6,8.9,2.49,120.4,36.2,64,11.9,232
25.1,44.4,72,6.3,2.46,73.1,18.9,53,7.4,154
211.7,328.2,96.1,2,6.74,31.7,5.9,83,14.4,325
20.2,44.9,31.4,1.9,1.2,81.9,29.9,93,30.3,161
13.6,33.2,83.2,35.7,2.28,43.4,10.2,72,12.8,185
280,400,36.9,60.9,7.68,80.1,12.2,74,1,413
20,40.7,14.9,1.4,0.81,78.5,30.5,59,32,157
56.2,86.3,29.9,20.4,1.92,41.2,11.7,48,33.4,73
136.6,223.9,27.1,2.2,4.16,69.1,19.5,86,17.7,194
64,95.6,25,1.6,2.19,51.8,13.8,16,16.8,87
19.5,42.2,69.3,2.7,1.79,126.2,38.1,89,21.3,235
26.1,58.8,59.8,13.7,2.08,23.9,5.1,75,31.8,139
113,205.3,64,2.5,4.13,55.9,11.3,17,6.9,152
29.4,52.6,70.2,1.9,2.37,132.9,42.5,19,27.7,242
41.6,64.1,67.4,12.3,2.04,120.9,35.6,83,8.9,236
84.5,130.9,11.4,2.5,2.68,118.1,37.9,21,20.6,221
52,106.4,18.2,2.6,2.32,48.9,15.1,80,29.6,92
98.2,161,97.8,2.9,4.02,52.5,9.7,28,5.5,198
77.1,104.7,26.1,11.8,2.01,34.9,10.3,84,31.5,121
43.2,78.4,29.5,8.1,2.33,68.9,21.8,12,16.3,111
32,72,5.3,5.5,1.04,61.1,19.6,26,31.4,111
33.3,41.5,27.3,13,1.65,43.6,10.8,54,9.5,74
9.6,22.1,48.3,15.9,1.51,115,25.8,99,3.8,210
87.1,153.2,60.3,2.9,3.4,153.9,34.8,27,2.7,285
41.9,92.9,20,14.8,2.06,37.2,9.4,10,34.3,63
17.3,43.7,60.1,7.1,1.67,72.9,19.8,21,17.5,121
23.6,50.9,62.3,17.1,1.88,54,13.9,55,29.7,141
32,52.5,107.1,11.1,3.47,128.7,40.9,39,15.2,234
14.4,31.9,8.4,3.3,0.51,34.6,9.3,59,17.6,54
79.5,95.9,55.7,3.5,2.52,144,38.6,74,7.2,277
36.1,70.8,7,15.4,0.99,116.7,38.8,50,26.8,229
218.6,257.9,13.6,1.6,5.21,29.2,6.1,58,11.4,324
43.2,56.7,55.3,0.3,2.99,131.4,35.6,80,6.6,242
161.5,186.8,69.8,7.6,5.02,82.9,16,75,2.1,249
38,50.4,42.9,2.4,2.08,52,11,59,5.6,84
77.6,122.4,55.2,2.4,4.06,40.9,8.9,32,7,103
28.2,54.3,60.8,17.7,2.21,104.9,33.5,30,18.7,196
21.3,58.3,27.1,8,1.12,75.8,23.2,68,28.6,143
14.5,27.1,58.3,10.2,1.61,92.6,21,93,4.9,168
68.7,133.9,28.7,3.3,3.03,94.3,29.6,94,31.4,188
35.4,72.5,63.9,0.8,2.22,44.9,10.3,45,20.6,145
62.2,105.3,98,21.5,3.44,48.9,8.2,23,6,203
51.6,107.2,12.2,20.4,2.05,90.9,31.5,76,31.7,173
80.4,140.6,33.8,19.7,3.82,132.2,36.7,54,9.6,246
122.2,226.4,33,7.4,3.98,82.1,19.9,33,6.1,187
147.3,210.5,36.6,9.4,6.29,116.8,37,85,27.1,220
5.4,13.5,66.9,12.8,1.72,135.1,37.4,23,8.8,263
31.4,42.2,21.5,10.1,1.48,138,39.6,64,11.4,269
11.4,26.4,41.4,0.6,1.05,78.1,21.9,35,18.6,145
30,56.3,18.7,4.3,0.97,43.4,8.8,95,12.4,86
35.2,51.1,19.8,7.7,1.15,153.6,40.3,23,6.3,281
20.8,38.2,36.5,20.2,1.28,64.3,16.5,92,10.1,120
36.9,59.6,42.2,12.6,2.31,73.5,17.2,73,12.9,136
21.6,37.9,51.6,15.1,1.26,112.5,37.6,35,20.7,209
7,28.7,42.2,7.2,0.97,93.4,28.5,15,28.5,185
12.5,35.4,64.4,5.7,1.22,93.9,31.5,74,32.7,182
45.1,67.2,30.4,3.5,1.99,84,30.8,25,29.4,153
14.8,25.7,7.3,56.1,0.48,64.4,14.1,26,5.3,219
23.5,48.3,30,8.3,1.03,95,29.4,56,23.1,175
40.2,74.6,56,9,2.75,72.8,24.5,40,24.5,129
184.5,295.6,70.8,11.9,6.2,126.1,28.2,14,2.1,278
17.7,43.4,19,3.3,1.11,100.7,37.5,86,32.3,185
20.6,46.4,25.1,1.5,1.45,85.7,24.8,38,17.3,151
52.8,96.3,11.9,3.1,1.93,37.3,8.3,53,10.1,79
74,113.3,17.1,21,2.48,78.1,23.6,44,30.1,146
32.5,57.6,27.7,11.5,1.76,105.8,28.9,69,8.8,179
101.9,157.7,22.6,1.7,3.66,121.1,41.6,92,27.9,236
21.9,39.7,20.1,42.8,0.88,23.8,6.9,82,23,184
5.6,25.6,120,2,2.2,107.9,37.7,46,15.4,272
63.4,99.3,17.9,12.7,2.16,37.7,8.5,23,4.2,86
35.7,56,120,4.5,3.63,90,15.8,37,1.1,256
61.7,72.8,24.7,10.1,1.79,111.3,38.9,35,19.1,196
20.3,38.5,33.1,7.2,0.91,136.3,41.7,33,18.8,262
152.7,220,96.3,8.1,6.24,36.5,8.3,80,8.2,234
54.8,102.7,3.9,20.8,1.73,72.2,27.3,71,25.4,143
60.4,108.4,11.2,8,2.63,26.9,6.7,51,33.7,94
52.4,72.1,49.7,2.7,2.08,44.6,15.4,44,18.6,112
9.5,29.5,59.1,0.2,1.57,53.6,12.5,35,6.9,114
80.6,126.1,36.1,4,2.34,91.2,27.7,36,20.1,166
3.6,17.1,13.1,1.5,0.38,29.4,7.6,52,26.8,54
11.7,30.8,120,7.2,2.69,76.6,22.5,45,23.7,262
45.4,60.5,110.9,7.1,4.5,102,27.1,12,8.6,250
18.7,38.9,14.1,4.7,0.86,88.5,26.6,87,12.8,163
24.6,46.5,25.9,6.9,1.61,52,15.2,23,11.9,89
61.8,95.7,16.2,6,1.75,44.1,11.6,95,31.8,103
267,387.1,34.1,26,8.82,126.3,34.1,60,7.8,422
19.8,44.8,25.3,2,0.96,41.6,13.2,33,24.2,55
88.2,141.1,73.5,12.5,4.91,117.1,28.5,14,5.7,208
103.8,140.1,120,18.9,6.8,169,41.5,56,4.6,313
78.7,101.5,34.8,27.9,2.57,64.3,13.3,55,4.2,122
101.7,201,28,14,4.31,112.1,38.3,44,32.2,222
192.3,344.9,94.1,3.1,5.43,65.6,17.4,61,10.4,283
6.8,25.2,64.3,31,1.1,40.3,12.5,97,31.1,140
19.7,47.1,38.4,0.2,1.33,86.2,25.8,17,27.3,153
14.8,33.7,73.6,8,2.03,50.1,12.4,75,28,157
16.5,28.9,22.3,11.7,0.82,60.6,14,81,8,115
253.7,284.2,42,10.7,7.97,193.8,43.3,13,2.6,376
25.9,36,13.2,5.1,1.27,68.1,12.7,28,2.3,125
42,62.5,51.4,14,2.27,148.1,43.9,40,10.7,282
138.7,222,83.6,4.7,7,143.4,42.2,61,12.9,265
49.2,89.2,23.6,5.7,2.49,49.9,13.7,11,26.1,77
39.1,55,105.8,7.1,3.67,77,19.4,18,9.6,227
19.5,48.6,22.3,0.2,0.85,25.9,8.9,52,18.6,56
56.3,84.5,6.5,3.9,2.04,116.7,39.7,50,26.8,211
16.8,40.1,45.3,9,1.27,134.2,44.8,78,22.6,253
29,55,65.8,10.5,2.4,103,27.9,88,7.9,181
55.1,96.9,33.2,5.5,1.66,85.1,28.6,27,34.8,152
92.9,157.4,89.4,27,4.73,182.7,33,78,1,335
41.1,79.3,44.8,17.6,2.12,93.3,28,19,8,166
6.8,23.8,19.5,15.3,0.58,38.3,11.5,30,22.6,59
100.7,144.8,29.3,29.3,2.61,127.1,26.2,91,1.6,235
91.9,106.9,92.6,8.6,4.13,108.9,25,82,1.9,217
68.7,121.9,14.2,19.1,2.92,123.6,41.8,25,21.7,215
44.9,63.8,95.9,26.7,3.12,71.2,23.1,99,20.4,209
13.6,28.2,120,20.9,2.21,87.2,22,84,9.4,269
26.3,49.6,22.1,6.4,1.17,25.4,8.1,50,32.3,36
85.2,162.7,10.8,1.7,2.65,128.4,42.1,63,23.9,243
57.4,92.7,17.6,44.4,1.88,51.2,17.5,90,22.9,198
40.9,65.4,57.1,22.3,1.8,91,21.5,83,8.1,160
85.6,119.3,39.5,28.1,3.63,69.1,20.8,77,17.3,130
15.2,36.2,51.1,0.2,1.78,91.4,32.7,86,34.5,183
24,59.1,2.1,8.1,0.84,81.5,28.7,47,34.8,147
39.4,83.1,19.4,5.2,1.88,41.2,11,89,16.3,66
81.4,119.1,54.4,22.4,4.57,59.2,18.7,92,25.3,128
24.6,33.8,67,8,2.24,91.4,27.7,90,11.8,177
62.2,119.3,17,8,2.46,95.5,35.4,11,29.3,162
40.7,76.3,5.7,2.5,1.08,122.5,40.4,65,15.8,224
5.7,24,67.4,5.7,1.65,94.2,34.5,51,34.9,173
62.7,97.5,43.9,7.6,2.1,69.9,22.4,61,28.4,130
97.2,146.9,12.2,3,3.45,22.7,5.8,91,17.5,149
101.3,172.6,27.4,15.2,4.35,127.9,41,25,19.3,237
69.3,89.8,47.7,15.5,2.31,40.6,10,79,12.6,110
39.4,68.3,93.7,25.5,3.68,189.9,44.9,20,2.8,352
81.5,107.2,10.6,12.6,2.57,34.2,7.6,79,16.6,111
51,96.9,62.2,15.4,2.15,122.9,38.1,35,17.9,223
16.1,32.6,13.2,9,0.63,62.4,19.2,95,10.6,138
12.8,34,7.8,21.1,0.54,69.8,21.1,50,27.4,115
62.8,83.8,22.5,10.4,1.83,144.5,43.7,59,11.3,278
60.8,112.8,35.3,17.2,2.96,83.9,26.5,25,18.5,148
35.4,74.7,29.3,2.4,1.22,102,30.2,72,17.3,190
18.2,51.9,75.1,18.1,2.41,53.9,18.3,82,27.1,156
22,45.3,120,31.5,3.59,52.7,9.1,80,6.6,264
55.1,84.5,111.7,2.7,4.35,130,44.4,29,16,248
6.6,26.4,2.4,8.8,0.28,100.1,31.8,28,18.8,184
51.6,72.1,3.9,12.6,1.6,23,5.1,67,17.2,87
167.7,229.1,29.5,15.5,5.58,68.8,19.6,78,18.8,268
78.2,103.5,25.7,1,2.07,80,26.3,83,24.3,152
135.5,187.9,2.3,16.5,2.97,88.7,27.2,85,13,213
127.2,163.1,31.2,2.4,3.91,85.5,26.8,21,29.5,195
40.9,79.6,47.7,3.2,1.99,82,27,35,32.3,132
122.4,205.4,53.5,9,4.53,119,28.4,86,4.6,221
16.8,32.4,58.2,21.4,1.82,35.5,7.5,20,8,111
3.8,22.6,26.3,11.9,0.46,31.8,7.4,12,17.5,36
24,44.9,12.4,9.2,1.02,136.9,40.9,47,12,252
150.5,171.2,34.1,6,4.58,89,28.4,63,17,230
51.9,81.7,31.5,4.9,1.74,118.9,38,56,20.9,229
22.4,47.8,52.5,14.1,1.97,101.3,28,94,8.6,184
12,33.5,28.7,1,1.14,53.3,18.4,33,26,98
232.1,380.5,18.4,12.2,8.86,157.8,40.8,74,6.1,359
130,247.2,8.5,26.6,2.96,28.1,7.8,25,24.7,184
80.8,109.3,112.1,3.4,4.44,118.2,33,84,10,260
26,53.5,6.8,3.2,0.94,33.9,7.2,78,15.5,48
14.9,42.4,71.7,8.2,2.43,114.2,39.7,36,25.5,218
9.2,20.9,66.1,6.2,1.46,122.5,37.9,26,17.1,220
52.5,90.7,22.5,6.7,1.67,45.7,11.8,66,12.5,82
7.5,22.9,18.2,5.9,0.49,132.8,37.6,65,9.2,255
58.7,70,24.6,27.6,2.44,86.3,23,88,8.4,174
118,162.2,32.4,2.5,3.09,61,15.1,68,9.2,175
46.8,71.3,45.3,3.7,2.58,83.5,28,18,20.2,151
46.5,85.7,19.4,7.7,2.05,102.6,32.3,88,25.2,204
25.9,41.8,50.9,9.3,1.5,121.6,29.3,86,4.7,231
30.4,62.5,5.6,2.9,0.9,97.2,31.9,55,18.6,179
10.5,35.2,33.8,4.8,0.82,37.1,14.8,17,30,71
71.2,142.9,44.8,8.1,2.51,118.9,43.1,12,25.3,222
83.7,106.5,18.2,11.3,2.16,140.6,42.2,38,11.7,274
227.9,260.7,44.4,4,5.76,139.3,33,76,4.9,352
40.9,60.2,33.8,0.2,1.71,52.4,15.8,100,20.6,103
149.4,184.7,96.1,11.3,7.99,120.4,43.9,51,29.3,241
56.2,79.5,44.3,17.3,1.82,27.7,7.1,73,18.7,89
43.1,83.6,32.2,12.9,2.18,92.8,28.9,95,24.6,178
23.3,48.3,20.2,4,0.88,91.8,31.3,52,18,171
81.5,116.6,36.6,0.6,3.41,115.8,35.9,74,13,222
7.3,27.4,3.9,0.2,0.3,95.3,34.9,85,33.8,181
75.3,115,10.1,0.2,2.54,98.8,38.7,14,32.4,183
24.6,43.1,46.7,18.4,1.7,146.7,38.1,46,8,285
39.2,88.7,9.2,18.9,1.26,75.7,23.8,59,33.5,151
19.5,46,15.1,13.6,0.75,45,11.9,76,30.7,74
30.6,52.6,36.5,13.1,1.55,138.4,44.3,23,24.7,255
90.8,137.4,23.2,5.1,3.3,68.2,21.1,43,18.4,122
207.2,259.9,34.5,6.6,8.3,107.8,35.6,12,17.3,313
22.2,49.7,71.3,22.6,1.74,33.2,8.7,11,7.9,151
65.5,95.4,67.8,8.9,2.74,165.3,40.8,82,4.4,322
23.9,52.3,23.5,2.3,1.05,130.1,37,71,17.1,234
93.2,166.1,43.7,5.9,4.72,104.2,30.2,12,11.6,192
23.9,56.7,6.8,11.3,0.94,86.3,30.4,37,27.3,173
52,94.1,30.3,7.3,1.78,119.3,41.1,95,31.6,237
2.9,18.7,86.3,24.5,1.76,126,37.8,35,12.4,228
35.3,75.8,14.2,5,1.68,83.2,25,42,29,138
189.8,272.7,39,5.7,4.86,124.4,34.1,55,8.5,287
86.2,113,19.3,6,2.59,112.5,36.2,34,27,210
38.8,60.5,79.8,1.5,2.85,51.3,15.9,92,20.1,173
12,31.1,64,2.8,1.83,106.6,33.6,26,15.4,202
40.4,69.6,8.8,26.8,1.11,86.3,27.9,65,29.5,139
89.7,153,9.2,1.3,2.28,141.7,40.7,14,10.8,266
51.6,81.7,25.5,23.7,2.07,28.2,6.1,82,17,101
13.8,38.7,10.9,1.6,0.57,103.1,32.2,70,27.5,174
257.1,400,105.9,22.3,10.28,135.8,32.7,76,3.8,399
137.5,164.7,4,15.2,3.27,89.3,27.8,14,14.4,201
31.3,57.2,95.7,31.5,2.69,146,38.3,59,4.3,279
41.5,54.3,120,1.6,3.46,76.2,16.8,66,5.5,266
10.3,28.1,38.2,5.7,0.87,52.4,12.6,77,8.5,110
56.9,102,47.3,9.8,3.01,40.4,11.8,23,10.3,98
6.5,16.2,70.7,9.6,1.88,35.6,5.7,50,11.2,147
121.7,205.8,68.9,28.8,6.28,35.6,9.6,73,13.7,184
79.3,126.4,46.8,6.9,3.69,38.2,7.6,20,17.7,114
31.8,64.1,36.8,9.5,1.23,116.3,37.2,79,30.9,219
34.8,61.8,7.2,11.5,1.25,36.3,10.3,67,26.5,78
54.4,75.9,7.3,0.5,2.1,37.4,8.6,63,33.5,73
46.9,77,47.2,0.2,2.14,129.4,40.7,11,12.3,245
100.4,150.5,48.5,11.8,4.93,88.4,34.4,12,29,160
28.2,47.4,15.1,6.5,1.2,97.9,25.1,25,5.5,179
84.4,100.9,14.2,13.2,2.88,70,16.1,16,5.2,126
111.6,141.3,67.4,15.9,4.73,32.8,9.3,53,25.8,168
25.1,50.5,41.3,5,1.35,121.6,38.9,98,19.6,255
33.7,49.1,40.8,7.7,2.27,98.8,33.4,49,21.7,170
108.9,138.2,48.3,2.2,4.92,147.5,37.2,95,5.2,274
29.4,51.4,11.8,9.3,1.03,23.5,5.6,40,30.8,22
29.4,51.9,56.8,7.9,2.42,44.7,15.1,54,29.6,123
67.5,114.6,120,4.2,4.75,98.1,21.1,85,2.6,274
17.7,41.7,29.6,1.2,1.21,56.4,18.3,84,25,107
11.9,27.9,3.8,9.5,0.51,128.4,39.7,23,19.2,221
49,108.2,16.4,1.7,2.12,38.2,12,20,33.1,88
9,27.4,39.4,5.8,1,58.6,19.7,10,32,92
15.3,30,6,3.5,0.52,31,6.1,77,16.5,61
67.4,113.6,16.9,1.9,2.22,114.6,41.2,80,27,215
55.8,80.8,43,12.3,3.27,118.1,38.6,29,18.2,213
58.5,95.6,29,17.7,2.31,157.8,43.5,57,7.9,289
14.6,32,39.4,5.1,0.89,90.5,29.6,27,25.4,164
16.2,36.7,43,2.5,1.5,31.1,9.9,51,27.1,91
36.4,65.1,46.2,7.9,1.86,123.1,42,57,25,226
123.4,225.2,64.5,10.1,5.69,40.5,10,41,7.5,175
14.2,26.8,20.3,3.3,0.75,90.3,27.2,77,11.1,173
22.3,44.6,89.5,17.1,2.77,40,12.2,14,12.1,191
41.7,83.8,21.9,23.5,1.3,139.3,44.5,36,20.4,248
92.1,166,19.6,18.7,3.2,91,33.1,25,31,160
8,23.9,4.8,6.9,0.36,52.7,15.2,35,30.8,75
38.7,78.8,29.7,11.1,1.87,120.6,36.9,72,14.1,227
70.9,115.4,23.8,6.9,2.06,67.7,20,86,26.1,126
71.2,120.9,59.4,6.7,3.47,121.5,40.5,56,28.1,239
78.1,144.9,8.8,7.6,2.72,36.4,10.5,96,25.6,117
78.2,122.3,49.1,3,2.4,133.6,41.1,17,14.1,241
38.8,68.1,43.6,28.4,2.08,135.7,41.1,57,11.1,263
48.1,73.2,24.4,5.2,1.45,172.6,39.4,75,3,338
55.8,75.9,46.1,10.5,2.54,81.4,26.3,19,23.9,141
125.5,187.2,34.4,4.5,4.58,143.3,38.1,81,7.7,268
54.4,108.6,16.4,10.6,1.65,128.1,42.4,50,22.3,228
3,10.8,31,23.5,0.91,102.6,27.6,50,5.7,165
42.8,82.3,63.3,2.3,2.65,74.2,20.8,76,13.7,129
8.7,16.8,38.3,13.2,0.77,41.3,12.5,54,11.7,67
5.6,23.5,8,18.5,0.35,123.2,40.3,20,28.7,237
44.3,87.3,109.5,1.2,3.88,57.5,14.4,93,13.5,243
27.1,48.5,12,28.7,1.1,135.9,42.8,32,15.9,258
63.9,85,33.2,1.4,3.22,99.2,31.3,69,15.9,173
39.6,60.7,84.3,11.1,2.97,27.1,11.4,90,21.5,202
53.5,80.6,13.2,35.8,1.62,134.7,43.2,90,14.7,259
4.9,25.9,14.8,2.9,0.46,33.4,11.2,98,33.6,42
11.2,29.8,32.4,14.9,0.91,119.9,43.2,53,34,218
57.7,83.8,18.4,1.1,2.08,83.7,31.1,19,32.1,154
18.2,36.8,72.9,15.9,2.6,33.7,6.1,94,3.8,145
23.8,37,38.5,9.2,1.12,71.1,21.9,38,17.2,124
7.5,25.6,14,16.8,0.63,51.4,13.1,52,12.5,101
42,77.5,23.5,4.1,1.25,92.7,29.8,60,23.9,170
41.9,72.2,66.7,0.2,2.29,126.8,41.9,84,22.6,239
15.5,38.7,34.6,38.5,1.37,89.2,28.1,67,30.2,159
18.6,44,36.6,4.7,1.63,40.3,10.7,43,33.2,82
28.7,61.9,18.9,8.7,1.05,58.1,19.6,53,20.5,98
10.9,30.4,95,11.8,2.4,32.4,7.1,23,19.2,214
8.3,30.7,82.4,7.3,1.79,27.4,9.6,31,33,177
52.3,96.9,20.1,10,2.15,96.8,34,86,31.3,184
15.5,37.6,28,3.7,0.96,44,11.7,83,15,85
154.4,227,4.1,4.2,4.75,190.1,43.3,99,2.7,359
35.6,79.4,47.7,12.8,2.57,34.4,7.4,76,27.5,114
23.6,44,26,8.6,1.24,119.6,43.9,44,32.5,227
64.7,106.1,32.8,2.9,3.25,80.1,24.7,56,13.8,170
50.8,71.7,10.3,12.5,1.54,109.6,33.1,94,9.3,221
107.7,172.6,78.7,64.9,4.52,137.9,34,62,4,273
13.7,31.5,120,4.3,2,116.2,35.6,47,14.3,269
56.6,88.2,61.4,1.1,2.7,154.3,40.2,29,7.2,269
62.2,84.5,76.7,23.1,2.42,133.6,33.5,84,5.5,238
76.4,96.1,75.4,12.7,2.87,63.5,14.8,54,9.8,159
47.5,76.8,5.4,0.2,1.78,76.7,24.7,25,19.8,136
99.8,173.1,58.6,20.5,4.92,135.4,35.3,74,6,256
15.7,37.4,9.2,6.9,0.51,15.3,5,65,33.7,44
49.4,101.5,23.7,15.8,1.38,23.6,8.4,20,33.1,69
35.4,59.9,44.3,12,2.42,97.3,36.1,30,34.7,173
72.2,100.2,43.4,15.2,2.78,61.8,16.7,59,25,114
89.5,156.8,118.1,8.2,6.03,80.5,18.9,18,5.8,266
69.8,91.8,120,4.6,4.68,156.3,31,22,1.3,277
9.9,33.9,9.6,1.7,0.37,116.9,38.7,77,24.3,217
38.7,75.2,65.6,3.8,2,29.1,7.8,89,24.2,131
22.7,44.7,39.4,4.9,1.43,40.4,15.6,95,32.2,84
8,16.6,16.4,10.4,0.7,112.6,33.4,33,14.9,207
1.7,21.9,45.4,2.4,0.7,29.4,7,29,15.4,103
35.4,65.4,20.4,14,1.54,60.6,18.4,29,19.3,120
49.4,65.3,23.7,4.7,2.27,125.8,40.7,27,15.1,230
32.4,61.6,67.1,11.4,2.96,56.6,14.1,28,4.3,122
15.6,37.1,76.8,21.5,1.54,90.4,27.9,23,13.9,169
9.9,20.3,52.7,6,1.76,45.6,12.6,73,7.7,125
102.2,191.8,30.2,2.4,3.84,128.3,45,39,25.7,239
126.4,180.2,120,23.7,5.68,130.5,25.1,44,1.4,259
108.4,146.2,46.9,13.1,4.64,114.3,37.8,77,32.2,224
31.8,57,41.4,10.1,1.48,85.7,30.5,35,31.6,156
7.9,27.4,49,0.9,0.94,111.1,39.1,79,26.6,216
31.2,61.4,21.1,12.1,1.76,84.6,32.5,17,33.4,141
28.5,61.3,6.4,0.8,0.98,123.2,36.1,70,22.3,244
32.1,56,28.5,3.9,1.09,31.6,10.9,93,23.3,57
10.1,23.8,13.3,8.7,0.72,55.3,15.9,80,14,107
181.8,328.3,12.7,16.9,6.09,65.4,15.4,77,3.2,284
34.7,61.2,57,4.4,2.38,70.1,19.2,39,24.5,122
90.1,156,44,3.4,4.04,63.9,15.4,67,5.3,133
50.5,92.2,31.2,5.7,1.72,142.3,39.2,49,10.9,272
14.7,42.9,34.3,0.9,1.44,108.3,34.4,40,22.5,197
40.8,81.6,7,10.9,1.34,128.6,39.2,78,14.3,244
35.2,60.2,48.2,2.9,1.7,147.9,34.4,12,3.4,262
46.7,76.2,67.2,0.9,2.59,102.5,33.8,45,30.4,183
96.5,146.4,30,5,2.74,146.4,44.3,37,14.1,270
1.8,22.4,27.5,2.5,0.69,45.1,11.5,25,23.8,70
56,107,96.8,13.2,3.73,178.8,35.6,65,1.7,333
15.4,33.2,20.1,4.1,1.07,134.9,43.2,18,21.2,241
17.1,30.9,118.1,16.3,3.36,61,15.6,29,10.4,254
38.1,72.9,41.4,18,2.1,25.8,8.4,100,14.6,91
75.5,103.4,61.9,11.7,4.37,59.3,14.2,21,6,134
17.1,45.5,15.8,3.4,0.78,60,18.3,14,29,100
1.5,8.2,113.4,24.7,2.92,166.1,43.1,91,5.8,317
7,27.9,7.8,3.5,0.39,126,44.6,56,31.9,255
78,153.8,46.3,8.6,2.95,70.5,22.5,15,31.6,120
57.3,99.2,23.8,8.7,2.64,126.4,33,98,7.5,244
148.6,174.2,58,16.5,4.13,121.1,40.6,24,19.1,246
65.8,114.9,29.2,4.4,3.32,123.9,38.4,82,18.8,231
